timestamp,cpu_percent,mem_resident_kb,net_rx_kb,net_tx_kb
1749892270,0.0,980,0,0
1749892271,0.0,980,0,0
1749892271,0.0,980,0,0
1749892272,0.0,980,0,0
1749892272,0.0,980,0,0
1749892273,0.0,980,0,0
1749892273,0.0,980,49,3
1749892274,0.0,980,49,3
1749892274,0.0,980,49,3
1749892275,0.0,980,49,3
1749892275,0.0,980,49,3
1749892276,0.0,980,49,3
1749892276,0.0,980,49,3
1749892277,0.0,980,49,3
1749892277,0.0,980,49,3
1749892278,0.0,980,49,3
1749892278,0.0,980,49,3
1749892279,0.0,980,49,3
1749892279,0.0,980,49,3
1749892280,0.0,980,49,3
1749892281,0.0,980,49,3
1749892281,0.0,980,49,3
1749892282,0.0,980,49,3
1749892282,0.0,980,49,3
1749892283,0.0,980,49,3
1749892283,0.0,980,49,3
1749892284,0.0,980,49,3
1749892284,0.0,980,49,3
1749892285,0.0,980,49,3
1749892285,0.0,980,49,3
1749892286,0.0,980,49,3
1749892286,0.0,980,49,3
1749892287,0.0,980,49,3
1749892287,0.0,980,49,3
1749892288,0.0,980,49,3
1749892288,0.0,980,49,3
1749892289,0.0,980,49,3
1749892289,0.0,980,49,3
1749892290,0.0,980,49,3
1749892290,0.0,980,49,3
1749892291,0.0,980,49,3
1749892291,0.0,980,49,3
1749892292,0.0,980,49,3
1749892292,0.0,980,49,3
1749892293,0.0,980,49,3
1749892293,0.0,980,49,3
1749892294,0.0,980,49,3
1749892295,0.0,980,49,3
1749892295,0.0,980,49,3
1749892296,0.0,980,49,3
1749892296,0.0,980,49,3
1749892297,0.0,980,49,3
1749892297,0.0,980,49,3
1749892298,0.0,980,49,3
1749892298,0.0,980,49,3
1749892299,0.0,980,49,3
1749892299,0.0,980,49,3
1749892300,0.0,980,49,3
1749892300,0.0,980,49,3
1749892301,0.0,980,49,3
1749892301,0.0,980,49,3
1749892302,0.0,980,49,3
1749892302,0.0,980,49,3
1749892303,0.0,980,49,3
1749892303,0.0,980,49,3
1749892304,0.0,980,49,3
1749892304,0.0,980,49,3
1749892305,0.0,980,49,3
1749892305,0.0,980,49,3
1749892306,0.0,980,49,3
1749892306,0.0,980,49,3
1749892307,0.0,980,49,3
1749892307,0.0,980,49,3
1749892308,0.0,980,49,3
1749892309,0.0,980,49,3
1749892309,0.0,980,49,3
1749892310,0.0,980,49,3
1749892310,0.0,980,49,3
1749892311,0.0,980,49,3
1749892311,0.0,980,49,3
1749892312,0.0,980,49,3
1749892312,0.0,980,49,3
1749892313,0.0,980,49,3
1749892313,0.0,980,49,3
1749892314,0.0,980,49,3
1749892314,0.0,980,49,3
1749892315,0.0,980,49,3
1749892315,0.0,980,49,3
1749892316,0.0,980,49,3
1749892316,0.0,980,49,3
1749892317,0.0,980,49,3
1749892317,0.0,980,49,3
1749892318,0.0,980,49,3
1749892318,0.0,980,49,3
1749892319,0.0,980,49,3
1749892319,0.0,980,49,3
1749892320,0.0,980,49,3
1749892320,0.0,980,49,3
1749892321,0.0,980,49,3
1749892321,0.0,980,49,3
1749892322,0.0,980,49,3
1749892323,0.0,980,49,3
1749892323,0.0,980,49,3
1749892324,0.0,980,49,3
1749892324,0.0,980,49,3
1749892325,0.0,980,49,3
1749892325,0.0,980,49,3
1749892326,0.0,980,49,3
1749892326,0.0,980,49,3
1749892327,0.0,980,49,3
